13979,8094,4777,3994,3106,2502,2299,2327,3039,4355,5856,7448,7599,6852,5856,3893,2727,2013,742,609,1621,2387,1969,259,1,
2261,5234,7597,9993,10075,8499,7844,6813,5392,3459,1928,976,648,563,659,1111,1442,2471,3104,3444,4054,3593,6615,456,73,
434,843,1427,2060,2527,3110,3807,5013,6842,8081,10292,12159,12172,14947,11930,2064,432,93,31,23,11,4,2,0,0,
6579,15330,2536,2890,2711,2698,2242,1975,1727,1571,2088,3524,5782,7670,7030,6347,4298,3855,4471,5361,3590,2122,1702,190,15,
2124,4584,2141,2642,3891,4117,3940,3772,3690,4778,6171,7359,7530,8043,5812,4356,5218,5676,4897,3244,1853,1175,889,370,32,
3333,10316,6188,4763,4329,4485,4801,5806,7518,8430,7401,4253,2593,2403,2004,1758,1544,1754,1814,1738,2745,3919,3401,775,233,
4815,5015,3341,3104,3471,4114,4603,4436,3987,3378,3273,3098,3065,3050,2962,2974,3762,6042,7605,4982,9125,7151,522,355,74,
1578,4289,5621,6415,7164,7821,8165,8519,9372,9091,7146,4448,3640,2462,474,250,101,59,50,54,300,1184,9919,181,1,
6186,6604,5185,5864,5080,3810,4327,6148,8615,9090,7897,5542,4674,3420,2501,1538,642,317,225,134,119,107,10101,178,0,
1928,6430,10949,8371,8169,10067,8415,7156,5877,4525,6214,2468,668,404,323,285,286,276,246,263,289,436,13109,1049,101,
1507,3291,4092,4633,4913,5768,10778,16306,17356,11797,4346,3271,2780,2406,1311,454,290,295,310,340,514,389,949,198,10,
2077,4331,3902,3516,3657,4256,5439,6786,7576,5741,5757,14462,13267,6544,3218,1685,1256,905,833,606,555,657,1101,159,18,
2592,3761,2560,2278,2377,2446,2533,2951,3400,4172,6015,9827,13299,12636,8547,4907,2290,820,336,128,73,85,9558,704,9,
8267,2174,1582,2097,3116,4073,5407,6312,6760,7385,8804,9763,6942,2768,661,168,91,155,723,2539,4801,2726,10913,70,7,
6270,10197,8293,6728,5958,6051,6226,7045,8321,8474,6321,2470,755,413,356,266,275,258,299,652,1596,2185,8442,420,33,
1747,3206,2706,2938,3708,4645,5924,6780,7138,7210,8624,8806,9296,6948,5161,6565,4613,1673,435,126,42,12,1,0,0,
2709,7211,3542,3612,4924,6587,7735,7885,6937,5169,3935,5146,5203,5618,3308,4213,3604,3849,4933,833,552,379,228,154,38,
145,964,1784,4189,7722,9927,11739,11984,9744,8491,7508,6319,4612,3110,2512,1920,1506,1222,802,505,471,388,415,277,48,
1359,1481,2061,2253,2522,3017,3587,4293,5758,7687,9981,13064,13060,5834,1775,993,1144,1632,2246,3773,4449,3330,2726,268,11,
675,1674,2152,2187,2628,3325,4128,5059,6679,9783,14892,16363,12853,7375,3415,1375,755,645,438,376,311,385,535,257,39,
1183,1561,1684,1575,1665,1650,1871,2287,2924,3530,4414,5404,6468,8121,9201,7703,5035,2919,2826,7623,8104,10359,179,17,1,
2382,2132,1403,1119,1011,1093,1467,2345,4331,7507,11564,14388,12156,5888,1868,668,266,897,1842,4213,6954,7079,5484,230,17,
2165,1098,723,864,1375,2272,3731,6321,9028,9837,9577,9432,7739,4595,2921,2965,4266,4361,4493,4119,2794,1884,1435,296,13,
2083,1341,1982,3957,7177,8676,7074,5429,4964,4931,5906,6161,6290,5377,4631,5180,5347,4078,2943,2282,1168,553,547,220,7,
139,175,216,297,562,927,1232,1710,2616,3823,6058,7047,5684,4170,2863,1814,1094,722,457,278,205,230,1453,7910,8819,
3566,4639,4856,4967,5499,5898,6407,6990,7846,8477,9123,9119,8047,5796,3720,1854,854,384,184,60,17,0,1,0,0,
1670,3546,3617,3804,4034,4421,4925,5527,6163,6689,7456,8076,7965,7021,4521,2417,1641,2243,3971,5003,2845,567,147,28,7,
67,1724,3581,4797,6716,7840,8140,8272,8247,7843,7674,8093,10446,9371,4091,917,261,104,44,29,20,17,8,2,0,
434,1535,2344,2704,3335,3673,4018,4128,4238,4578,5123,5736,6531,7692,9357,9576,7964,7814,5673,1524,293,30,2,2,0,
201,876,1725,1816,1859,1733,1900,2015,2464,2878,4080,5547,8142,11147,12090,9510,6688,7440,8846,5489,1732,109,15,2,0,
983,2161,4233,7626,8740,8885,8925,7925,7302,6424,5754,5360,5244,4894,4480,3378,2313,1439,933,560,417,231,70,20,7,
427,1129,1854,2384,3067,3388,3957,4558,5374,6187,7081,7875,8244,7609,7265,7145,7884,6838,3900,1613,430,79,15,1,0,
1,1208,16885,9360,8311,5027,5354,5169,4310,4398,5408,6147,4910,5947,5303,3519,1894,1244,879,654,244,120,1889,123,0,
14383,6333,3636,3534,3304,2789,2601,2916,8984,7570,6476,5484,5286,4931,3187,1515,1288,1357,1854,3491,6538,90,700,57,0,
0,0,91,1787,6766,7358,5558,6163,5852,8120,11514,12525,11574,10963,6500,2310,1033,185,5,0,0,0,0,0,0,
860,5034,7871,5917,5745,4496,3213,4323,6224,9020,14879,15848,7857,4646,1774,333,39,21,29,23,94,56,2,0,0,
4438,6543,726,751,542,488,17655,55084,914,1078,2266,2883,2493,1851,592,0,0,0,0,0,0,0,0,0,0,
10706,16428,8018,3393,3826,4877,5733,3197,4091,4449,6664,6619,6940,5533,4215,3062,528,25,0,0,0,0,0,0,0,
669,14618,17115,12357,7223,6045,6363,5931,6182,4951,4137,3555,2975,4451,1460,237,32,3,0,0,0,0,0,0,0,
20814,9827,6004,3629,2771,2962,3798,3713,4054,5431,7530,7376,10360,5546,2218,1559,685,25,1,1,0,0,0,0,0,
408,12174,10084,6289,6815,8201,11738,7939,5052,4564,4919,4674,4243,3200,2547,1895,1632,1406,501,20,3,0,0,0,0,
66398,4404,324,358,4777,7747,2726,2265,2346,1952,1411,895,552,395,298,263,271,189,207,474,52,0,0,0,0,
79950,2508,1370,1116,2307,1906,1357,1133,1121,819,699,451,386,329,268,223,231,218,315,1319,247,30,1,0,0,
9357,7338,17642,16635,18416,10271,5043,4310,2993,2163,1490,964,522,299,218,209,174,112,81,45,18,4,0,0,0,
1628,5240,9394,13250,13123,9271,7808,7165,6914,8642,10489,3186,1022,277,78,23,22,21,18,40,273,418,2,0,0,
26971,7728,5376,5831,4496,3483,2634,2969,4050,4662,4036,3127,2831,3449,4230,5960,4801,1193,380,90,6,1,0,0,0,
16101,12423,13105,9786,9161,10146,5006,3713,2426,2425,2319,2254,2131,1735,1217,1241,1117,791,717,371,116,3,0,0,0,
26455,6693,5645,4666,5513,8688,6020,5407,5826,5772,4365,4093,2268,1532,1130,862,616,618,891,846,375,23,0,0,0,
0,0,0,0,1,7,17,21,14,45,203,798,8728,7222,2806,1429,1177,1597,1437,5947,13749,10668,41320,1108,10,
115,186,374,760,840,1392,2386,754,681,1039,1428,1515,1077,1052,1029,4963,19731,10613,26943,21222,182,18,4,0,0,
127,248,440,2171,2235,1357,872,812,833,2698,5677,3835,1692,1411,1408,1349,1290,1569,4452,11878,12686,19749,19218,287,10,
536,988,1395,1067,1475,2278,11036,5379,2464,2246,1987,1822,1596,1257,1141,991,1738,10445,7147,9234,9846,10729,11428,67,12,
131,449,597,1435,1717,1267,1613,3388,2473,1951,1631,1570,1122,748,689,757,968,1078,4881,6719,13957,23105,25741,307,10,
98,123,85,103,500,2649,3029,1452,1647,1839,1037,606,669,809,1239,6245,9551,11836,20923,33388,461,15,0,0,0,
3819,2747,1426,2304,7782,15229,11611,7613,5989,5070,4174,3287,2487,1919,1928,2078,2580,4094,11480,609,75,3,0,0,0,
0,0,0,1,55,904,4717,3978,2017,1297,1046,1529,1469,1741,1275,992,1018,1638,6278,10249,9589,12716,35653,142,0,
14350,1369,1484,2897,2842,2564,2937,3500,4493,6732,9066,11814,12038,16169,5813,63,9,7,19,23,96,19,0,0,0,
1223,2005,2669,4161,4792,5333,6002,8723,13708,15160,11478,7426,5046,3554,2117,1384,800,507,298,243,269,591,815,0,0,
2,133,12201,7245,4248,1600,1102,1213,5855,6390,15753,18652,15778,6378,1004,264,152,124,126,68,14,2,0,0,0,
0,1,19944,5115,1295,1017,951,1351,2137,3798,9506,17956,17649,10644,2726,1589,1139,771,333,195,139,45,3,0,0,
43,9720,7029,9817,10328,10483,10211,8027,7261,6358,5654,5123,3796,2083,740,466,315,265,185,127,93,65,100,15,0,
0,0,939,740,1656,3570,2288,2019,2662,2851,5374,6621,4678,4911,4975,5069,7164,13015,20827,8770,174,1,0,0,0,
0,220,1552,2006,2963,8311,12850,13267,14497,11747,11116,6269,3782,2899,1982,1401,989,654,514,423,543,315,4,0,0,
0,1,655,5957,17477,10986,10841,9330,9383,7505,5473,4360,4160,3875,4280,3332,654,27,6,2,0,0,0,0,0,
0,7,3921,4193,5958,10489,15955,9499,4297,3111,2787,3483,4539,5317,6203,7114,5768,3113,1701,689,156,4,0,0,0,
7799,10341,2982,2448,1191,909,1022,1545,2844,4753,10386,12212,6279,5759,3919,3643,3149,4030,5828,3325,2561,575,618,177,9,
49595,2326,1399,1154,1690,2250,3540,3200,3061,3422,4019,3781,3432,3113,2818,2546,1998,1575,1118,732,571,468,365,123,8,
1676,38880,1970,1168,958,842,844,907,1080,1420,2260,3209,4687,6319,9985,10973,6762,4269,95,0,0,0,0,0,0,
1,18224,4078,699,753,921,748,606,570,466,595,2684,10736,17643,18013,14962,6589,16,0,0,0,0,0,0,0,
15913,8361,7520,6225,4197,3485,2453,1890,1500,1712,2623,4670,8311,8050,3897,4506,6326,4182,1921,457,72,25,7,1,0,
1013,64218,2365,1920,2246,3266,3361,1694,1264,1185,981,808,788,865,1217,1550,1989,2109,1729,1557,1105,627,353,86,8,
